,0
1674,11.72
1675,12.68
1676,0.04
1677,14.12
1678,12.72
1679,0.04
1680,0.08
1681,33.28
1682,20.44
1683,0.04
1684,17.84
1685,0.04
1686,0.04
1687,0.04
1688,18.88
1689,20.04
1690,11.72
1691,0.16
1692,0.04
1693,0.08
1694,0.08
1695,0.08
1696,0.04
1697,0.24
1698,0.04
1699,0.04
1700,0.04
1701,0.04
1702,0.88
1703,3.24
1704,0.04
1705,0.04
1706,2.0
1707,0.04
1708,0.08
1709,3.72
1710,0.04
1711,14.32
1712,0.04
1713,5.8
1714,0.04
1715,0.04
1716,0.04
1717,0.08
1718,16.4
1719,0.36
1720,1.84
1721,0.08
1722,0.04
1723,0.04
1724,0.04
1725,4.56
1726,0.04
1727,3.2
1728,0.04
1729,0.08
1730,1.64
1731,0.04
1732,0.72
1733,0.08
1734,0.16
1735,0.04
1736,0.24
1737,0.08
1738,0.04
1739,0.08
1740,1.92
1741,2.4
1742,0.08
1743,0.04
1744,4.72
1745,0.08
1746,0.04
1747,0.16
1748,0.04
1749,0.08
1750,1.36
1751,22.08
1752,3.52
1753,29.32
1754,0.04
1755,0.04
1756,0.04
1757,0.04
1758,0.04
1759,0.08
1760,0.08
1761,0.04
1762,0.36
1763,0.12
1764,0.12
1765,0.04
1766,0.08
1767,0.04
1768,0.04
1769,0.04
1770,0.08
1771,0.08
1772,0.04
1773,0.08
1774,2.88
1775,0.04
1776,12.8
1777,0.04
1778,6.12
1779,3.2
1780,17.68
1781,15.48
1782,0.04
1783,0.04
1784,0.04
1785,0.04
1786,0.04
1787,0.2
1788,0.04
1789,0.04
1790,0.04
1791,0.04
1792,0.04
1793,0.04
1794,8.96
1795,0.04
1796,0.04
1797,0.04
1798,0.04
1799,0.04
1800,7.44
1801,0.04
1802,0.04
1803,0.16
1804,0.08
1805,13.96
1806,0.08
1807,0.04
1808,0.08
1809,0.04
1810,14.76
1811,0.04
1812,0.12
1813,0.04
1814,1.68
1815,0.04
1816,0.4
1817,0.16
1818,0.04
1819,0.12
1820,0.04
1821,2.92
1822,0.24
1823,1.32
1824,3.56
1825,0.04
1826,0.08
1827,3.44
1828,0.04
1829,0.04
1830,1.6
1831,0.04
1832,0.08
1833,0.2
1834,0.04
1835,0.6
1836,0.04
1837,2.76
1838,2.32
1839,2.32
1840,0.12
1841,0.04
1842,0.04
1843,13.52
1844,2.8
1845,0.04
1846,0.12
1847,0.8
1848,0.12
1849,0.04
1850,0.04
1851,0.04
1852,2.48
1853,0.08
1854,0.28
1855,0.08
1856,0.16
1857,0.04
1858,0.6
1859,0.16
1860,0.28
1861,0.12
1862,0.04
1863,12.68
1864,0.04
1865,6.32
1866,0.04
1867,20.84
1868,0.12
1869,0.04
1870,0.04
1871,0.04
1872,24.84
1873,0.08
1874,0.04
1875,26.32
1876,0.04
1877,7.6
1878,0.04
1879,19.2
1880,21.4
1881,0.04
1882,3.32
1883,0.08
1884,0.04
1885,2.32
1886,0.4
1887,0.04
1888,0.28
1889,0.44
1890,0.08
1891,0.04
1892,0.12
1893,0.04
1894,15.84
1895,5.12
1896,0.08
1897,0.08
1898,3.16
1899,0.04
1900,24.24
1901,217.76
1902,3.72
1903,1.44
1904,4.48
1905,11.52
1906,0.12
1907,0.08
1908,0.12
1909,0.08
1910,0.04
1911,0.04
1912,0.16
1913,0.04
1914,0.04
1915,0.04
1916,0.08
1917,19.56
1918,16.36
1919,0.08
1920,14.56
1921,16.6
1922,0.04
1923,0.04
1924,2.0
1925,0.04
1926,0.12
1927,0.08
1928,8.24
1929,0.04
1930,0.04
1931,0.08
1932,1.48
1933,0.04
1934,5.36
1935,0.04
1936,1.76
1937,0.08
1938,0.04
1939,0.04
1940,0.04
1941,0.04
1942,3.32
1943,0.04
1944,0.08
1945,3.16
1946,0.24
1947,0.08
1948,0.04
1949,5.04
1950,0.04
1951,0.04
1952,0.04
1953,3.28
1954,0.04
1955,0.12
1956,4.04
1957,0.04
1958,5.04
1959,0.08
1960,7.72
1961,0.04
1962,10.52
1963,0.04
1964,0.12
1965,0.04
1966,0.04
1967,0.04
1968,0.04
1969,2.32
1970,0.04
1971,6.56
1972,0.04
1973,0.04
1974,0.04
1975,0.04
1976,2.72
1977,0.04
1978,0.04
1979,0.04
1980,0.12
1981,2.2
1982,0.12
1983,0.12
1984,0.04
1985,7.8
1986,0.08
1987,0.08
1988,0.12
1989,1.92
1990,0.04
1991,0.04
1992,2.44
1993,0.04
1994,0.04
1995,0.08
1996,3.8
1997,0.24
1998,0.12
1999,0.08
2000,4.96
2001,0.04
2002,0.04
2003,0.08
2004,0.04
2005,0.04
2006,0.04
2007,0.04
2008,0.24
2009,0.04
2010,0.12
2011,44.4
2012,0.04
