,FileName,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err,Bot_Type,diameter
0,fronter_N021_D028_C0491.MP4_link.csv,1.9165035981679697,0.0007574987648483885,0.11142645887953416,0.0020846178315399376,1.913182725397349,0.0006202469034842823,0.11124205038179191,0.0015116913300117713,fronter,28
0,updated_test_fronter_N021_D028_C0492.MP4_link.csv,1.5596105468334989,0.0009554370218988322,0.03629512680358386,0.0029952102575246664,1.626963222276635,0.000788324741971509,0.03109575608071752,0.0019213375893356115,fronter,28
0,fronter_N021_D028_C0493.MP4_link.csv,1.754001621708878,0.0004836768304495634,0.01577223049893148,0.0015162839445906234,1.7847338255562621,0.0004921829855768376,0.014709748124871122,0.0011995686906567358,fronter,28
0,updated_test_aligner_N021_D028_C0494.MP4_link.csv,1.4208925689288807,0.002697675448229308,0.018606925318212904,0.008456973125045874,1.555610164120627,0.0023033014710642486,0.014014540852838686,0.00561370139000348,aligner,28
0,aligner_N021_D028_C0495.MP4_link.csv,1.5111372376943435,0.0006880444115740462,0.01774930680729225,0.002156958144710502,1.495885579923899,0.001539319882220993,0.018664417042864038,0.0037516939152021267,aligner,28
0,aligner_N021_D028_C0497.MP4_link.csv,1.4384211211589486,0.0036642221032949563,0.024467018379947136,0.011487011073935868,1.5918704124839462,0.0021860488237300984,0.01787131949655241,0.005327928362316835,aligner,28
0,aligner_N021_D028_C0498.MP4_link.csv,1.6539500278314592,0.0022876847359994444,0.03419535784010463,0.007171688620224989,1.7465392075510051,0.0015773917292484228,0.02840253493110143,0.00384448419109433,aligner,28
0,updated_test_aligner_N021_D032_C0552.MP4_link.csv,1.7840718756132317,0.0007466573762844397,0.01870685070364515,0.002340704613821749,1.8200186117451038,0.00029845607310587514,0.017108319962095813,0.0007274094500889914,aligner,32
0,updated_test_aligner_N021_D032_C0551.MP4_link.csv,1.6007086210697543,0.0005456454084621649,0.013783057338412263,0.0017105499290940064,1.602356922221956,0.00045376612164457135,0.013601556576103834,0.001105937508255404,aligner,32
0,updated_test_aligner_N021_D032_C0550.MP4_link.csv,1.4938142120711402,0.0020212035153825015,0.025633613873877702,0.006336293644449824,1.5996894857583297,0.0016564374129264443,0.020558002918635538,0.0040371376004244555,aligner,32
0,updated_test_aligner_N021_D032_C0549.MP4_link.csv,1.4467870428617082,0.0008730634731040195,0.012238214948572584,0.0027369765000909204,1.5029319422571115,0.0007975134857340127,0.010813466713360554,0.0019437327674151257,aligner,32
0,fronter_N021_D032_C0500.MP4_link.csv,1.9303761417433796,0.0015205243411120987,0.15894531475478277,0.0043539600868580655,1.9744409656436543,0.00024490818098312563,0.14523117312631004,0.000596900319480447,fronter,32
0,fronter_N021_D032_C0501.MP4_link.csv,1.7734890845551148,0.0004994964324309416,0.05191205101762404,0.00156587698458138,1.7778415107853744,0.0008483406125339649,0.05191465502411394,0.0020676107284168504,fronter,32
0,updated_test_fronter_N021_D032_C0502.MP4_link.csv,1.6640616539290345,0.003398108698714211,0.04466481250056551,0.010652769128277305,1.8011766546159438,0.001250078084718934,0.03332566331862833,0.0030467418777813168,fronter,32
0,fronter_N021_D032_C0503.MP4_link.csv,1.6239602700569271,0.00323954853943947,0.036611842049587465,0.010155697179457732,1.769410132773935,0.0011039252050886526,0.026480765323941727,0.0026905320441413592,fronter,32
