,Unnamed: 0,date,operator,bottype,stars,bots,passiveDiameter[cm],path,locatingFileName,minCircleRadius,maxCircleRadius,fps,cpp,start_min,end_min,analysis stage,frames,pixelSize [cm/pixel],pixelSize_unbined [cm/pixel],arenaSize[cm],turnOnTime [s],comments,backedup,130,production,linkingFileName,botLocatingFileName,botLinkingFileName
18,18,20221222,Eden,aligner,2.0,21,18,D:\Eden\22_12_22_blend\alingers-18cm\C0526.MP4,D:\Eden\22_12_22_blend\alingers-18cm\C0526.MP4_locatedFull20230223a_test_eden.csv,63,70,25,,0:16,20:00,,,0.1376146789,,150.0,,1low battery - replaced,,,,D:\Eden\22_12_22_blend\alingers-18cm\C0526.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\22_12_22_blend\alingers-18cm\C0526.MP4botLocatedFull20230315.csv,D:\Eden\22_12_22_blend\alingers-18cm\C0526.MP4botLocatedFull20230315.csv_linked.csv
19,19,20221222,Eden,aligner,2.0,21,18,D:\Eden\22_12_22_blend\alingers-18cm\C0525.MP4,D:\Eden\22_12_22_blend\alingers-18cm\C0525.MP4_locatedFull20230309_matan.csv,43,51,25,,0:08,20:00,,,0.1376146789,,150.0,,1 low buttery-replaced,,,,D:\Eden\22_12_22_blend\alingers-18cm\C0525.MP4_locatedFull20230309_matan.csv_linked.csv,D:\Eden\22_12_22_blend\alingers-18cm\C0525.MP4botLocatedFull20230315.csv,D:\Eden\22_12_22_blend\alingers-18cm\C0525.MP4botLocatedFull20230315.csv_linked.csv
20,20,20221222,Eden,aligner,2.0,21,18,D:\Eden\22_12_22_blend\alingers-18cm\C0523.MP4,D:\Eden\22_12_22_blend\alingers-18cm\C0523.MP4_locatedFull20230223a_test_eden.csv,63,70,25,,1:00,20:00,,,0.1376146789,,150.0,,"2 was spinning-plastic replaced,1 low buttery-replaced",,,,D:\Eden\22_12_22_blend\alingers-18cm\C0523.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\22_12_22_blend\alingers-18cm\C0523.MP4botLocatedFull20230315.csv,D:\Eden\22_12_22_blend\alingers-18cm\C0523.MP4botLocatedFull20230315.csv_linked.csv
21,21,20221222,Eden,fronter,1.0,21,18,D:\Eden\22_12_22_blend\fronters-18cm\C0521.MP4,D:\Eden\22_12_22_blend\fronters-18cm\C0521.MP4_locatedFull20230223a_test_eden.csv,63,70,25,,0:04,2:45,,,0.1376146789,,150.0,,,,,,D:\Eden\22_12_22_blend\fronters-18cm\C0521.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\22_12_22_blend\fronters-18cm\C0521.MP4botLocatedFull20230315.csv,D:\Eden\22_12_22_blend\fronters-18cm\C0521.MP4botLocatedFull20230315.csv_linked.csv
22,22,20221222,Eden,fronter,2.0,21,18,D:\Eden\22_12_22_blend\fronters-18cm\C0519.MP4,D:\Eden\22_12_22_blend\fronters-18cm\C0519.MP4_locatedFull20230223a_test_eden.csv,63,70,25,,0:31,17:30,,,0.1376146789,,150.0,,1bot stay off(open in the middle),,,,D:\Eden\22_12_22_blend\fronters-18cm\C0519.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\22_12_22_blend\fronters-18cm\C0519.MP4botLocatedFull20230315.csv,D:\Eden\22_12_22_blend\fronters-18cm\C0519.MP4botLocatedFull20230315.csv_linked.csv
23,23,20221220,Eden,fronter,1.0,21,18,D:\Eden\20221220\fronters21passive18cm\C0514.MP4,D:\Eden\20221220\fronters21passive18cm\C0514.MP4_locatedFull20230223a_test_eden.csv,63,70,25,,0:15,13:30,,,0.1376146789,,150.0,,1bot replaced,,130.0,,D:\Eden\20221220\fronters21passive18cm\C0514.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221220\fronters21passive18cm\C0514.MP4botLocatedFull20230315.csv,D:\Eden\20221220\fronters21passive18cm\C0514.MP4botLocatedFull20230315.csv_linked.csv
24,24,20221220,Eden,fronter,3.0,21,18,D:\Eden\20221220\fronters21passive18cm\C0516.MP4,D:\Eden\20221220\fronters21passive18cm\C0516.MP4_locatedFull20230223a_test_eden.csv,63,70,25,,0:07,13:00,,,0.1376146789,,150.0,,,,130.0,,D:\Eden\20221220\fronters21passive18cm\C0516.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221220\fronters21passive18cm\C0516.MP4botLocatedFull20230315.csv,D:\Eden\20221220\fronters21passive18cm\C0516.MP4botLocatedFull20230315.csv_linked.csv
25,25,20221220,Eden,fronter,1.0,21,18,D:\Eden\20221220\fronters21passive18cm\C0517.MP4,D:\Eden\20221220\fronters21passive18cm\C0517.MP4_locatedFull20230223a_test_eden.csv,63,70,25,,0:00,11:30,,,0.1376146789,,150.0,,1bot replaced,,130.0,,D:\Eden\20221220\fronters21passive18cm\C0517.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221220\fronters21passive18cm\C0517.MP4botLocatedFull20230315.csv,D:\Eden\20221220\fronters21passive18cm\C0517.MP4botLocatedFull20230315.csv_linked.csv
26,26,20221213,Eden,fronter,1.0,21,28,D:\Eden\20221213\fronters21\C0490.MP4,D:\Eden\20221213\fronters21\C0490.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:23,5:51,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Eden\20221213\fronters21\C0490.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\fronters21\C0490.MP4botLocatedFull20230315.csv,D:\Eden\20221213\fronters21\C0490.MP4botLocatedFull20230315.csv_linked.csv
27,27,20221213,Eden,fronter,2.0,21,28,D:\Eden\20221213\fronters21\C0491.MP4,D:\Eden\20221213\fronters21\C0491.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:21,2:09,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Eden\20221213\fronters21\C0491.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\fronters21\C0491.MP4botLocatedFull20230315.csv,D:\Eden\20221213\fronters21\C0491.MP4botLocatedFull20230315.csv_linked.csv
28,28,20221213,Eden,fronter,1.0,21,28,D:\Eden\20221213\fronters21\C0492.MP4,D:\Eden\20221213\fronters21\C0492.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:06,7:34,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Eden\20221213\fronters21\C0492.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\fronters21\C0492.MP4botLocatedFull20230315.csv,D:\Eden\20221213\fronters21\C0492.MP4botLocatedFull20230315.csv_linked.csv
29,29,20221213,Eden,fronter,1.0,21,28,D:\Eden\20221213\fronters21\C0493.MP4,D:\Eden\20221213\fronters21\C0493.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:17,20:00,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Eden\20221213\fronters21\C0493.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\fronters21\C0493.MP4botLocatedFull20230315.csv,D:\Eden\20221213\fronters21\C0493.MP4botLocatedFull20230315.csv_linked.csv
30,30,20221213,Eden,aligner,,21,28,D:\Eden\20221213\aligners21\C0494.MP4,D:\Eden\20221213\aligners21\C0494.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:11,20:00,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Eden\20221213\aligners21\C0494.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\aligners21\C0494.MP4botLocatedFull20230315.csv,D:\Eden\20221213\aligners21\C0494.MP4botLocatedFull20230315.csv_linked.csv
31,31,20221213,Eden,aligner,,21,28,D:\Eden\20221213\aligners21\C0495.MP4,D:\Eden\20221213\aligners21\C0495.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:04,20:00,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Eden\20221213\aligners21\C0495.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\aligners21\C0495.MP4botLocatedFull20230315.csv,D:\Eden\20221213\aligners21\C0495.MP4botLocatedFull20230315.csv_linked.csv
32,32,20221213,Eden,aligner,3.0,21,28,D:\Eden\20221213\aligners21\C0497.MP4,D:\Eden\20221213\aligners21\C0497.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:07,20:00,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Eden\20221213\aligners21\C0497.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\aligners21\C0497.MP4botLocatedFull20230315.csv,D:\Eden\20221213\aligners21\C0497.MP4botLocatedFull20230315.csv_linked.csv
33,33,20221213,Eden,aligner,,21,28,D:\Eden\20221213\aligners21\C0498.MP4,D:\Eden\20221213\aligners21\C0498.MP4_locatedFull20230223a_test_eden.csv,99,101,25,0.1376146789,0:34,17:00,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Eden\20221213\aligners21\C0498.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\aligners21\C0498.MP4botLocatedFull20230315.csv,D:\Eden\20221213\aligners21\C0498.MP4botLocatedFull20230315.csv_linked.csv
34,34,20230103,Eden,aligner,,21,32,D:\Eden\3_1_23\aligners_21_32cm\C0552.MP4,D:\Eden\3_1_23\aligners_21_32cm\C0552.MP4_locatedFull20230223a_test_eden.csv,116,121,25,,0:16,20:25,,,0.1376146789,,,,,,,,D:\Eden\3_1_23\aligners_21_32cm\C0552.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\3_1_23\aligners_21_32cm\C0552.MP4botLocatedFull20230315.csv,D:\Eden\3_1_23\aligners_21_32cm\C0552.MP4botLocatedFull20230315.csv_linked.csv
35,35,20230103,Eden,aligner,,21,32,D:\Eden\3_1_23\aligners_21_32cm\C0551.MP4,D:\Eden\3_1_23\aligners_21_32cm\C0551.MP4_locatedFull20230223a_test_eden.csv,116,121,25,,0:11,20:23,,,0.1376146789,,,,,,,,D:\Eden\3_1_23\aligners_21_32cm\C0551.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\3_1_23\aligners_21_32cm\C0551.MP4botLocatedFull20230315.csv,D:\Eden\3_1_23\aligners_21_32cm\C0551.MP4botLocatedFull20230315.csv_linked.csv
36,36,20230103,Eden,aligner,,21,32,D:\Eden\3_1_23\aligners_21_32cm\C0550.MP4,D:\Eden\3_1_23\aligners_21_32cm\C0550.MP4_locatedFull20230223a_test_eden.csv,116,121,25,,1:48,21:57,,,0.1376146789,,,,"1bot-stops in the middle-replaced,1 weird move- replaced plastic",,,,D:\Eden\3_1_23\aligners_21_32cm\C0550.MP4_locatedFull20230303a.csv_linked.csv,D:\Eden\3_1_23\aligners_21_32cm\C0550.MP4botLocatedFull20230315.csv,D:\Eden\3_1_23\aligners_21_32cm\C0550.MP4botLocatedFull20230315.csv_linked.csv
37,37,20230103,Eden,aligner,,21,32,D:\Eden\3_1_23\aligners_21_32cm\C0549.MP4,D:\Eden\3_1_23\aligners_21_32cm\C0549.MP4_locatedFull20230223a_test_eden.csv,116,121,25,,0:09,21:52,,,0.1376146789,,,,"1bot-wrong plastic,1 stop and continiue",,,,D:\Eden\3_1_23\aligners_21_32cm\C0549.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\3_1_23\aligners_21_32cm\C0549.MP4botLocatedFull20230315.csv,D:\Eden\3_1_23\aligners_21_32cm\C0549.MP4botLocatedFull20230315.csv_linked.csv
38,38,20221216,Matan,fronter,3.0,21,32,D:\Matan\20221216\fronters21passive32cm\C0500.MP4,D:\Matan\20221216\fronters21passive32cm\C0500.MP4_locatedFull20230223a_test_eden.csv,116,121,25,0.1376146789,0:27,2:28,,,0.1376146789,,150.0,,to edge in 2.5 mins,1.0,130.0,,D:\Matan\20221216\fronters21passive32cm\C0500.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Matan\20221216\fronters21passive32cm\C0500.MP4botLocatedFull20230315.csv,D:\Matan\20221216\fronters21passive32cm\C0500.MP4botLocatedFull20230315.csv_linked.csv
39,39,20221216,Matan,fronter,1.0,21,32,D:\Matan\20221216\fronters21passive32cm\C0501.MP4,D:\Matan\20221216\fronters21passive32cm\C0501.MP4_locatedFull20230223a_test_eden.csv,116,121,25,0.1376146789,0:24,8:00,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Matan\20221216\fronters21passive32cm\C0501.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Matan\20221216\fronters21passive32cm\C0501.MP4botLocatedFull20230315.csv,D:\Matan\20221216\fronters21passive32cm\C0501.MP4botLocatedFull20230315.csv_linked.csv
40,40,20221216,Matan,fronter,1.0,21,32,D:\Matan\20221216\fronters21passive32cm\C0502.MP4,D:\Matan\20221216\fronters21passive32cm\C0502.MP4_locatedFull20230223a_test_eden.csv,116,121,25,0.1376146789,0:28,15:00,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Matan\20221216\fronters21passive32cm\C0502.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Matan\20221216\fronters21passive32cm\C0502.MP4botLocatedFull20230315.csv,D:\Matan\20221216\fronters21passive32cm\C0502.MP4botLocatedFull20230315.csv_linked.csv
41,41,20221216,Matan,fronter,1.0,21,32,D:\Matan\20221216\fronters21passive32cm\C0503.MP4,D:\Matan\20221216\fronters21passive32cm\C0503.MP4_locatedFull20230223a_test_eden.csv,116,121,25,0.1376146789,0:19,15:00,,,0.1376146789,,150.0,,,1.0,130.0,,D:\Matan\20221216\fronters21passive32cm\C0503.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Matan\20221216\fronters21passive32cm\C0503.MP4botLocatedFull20230315.csv,D:\Matan\20221216\fronters21passive32cm\C0503.MP4botLocatedFull20230315.csv_linked.csv
