,frame,distance_sq
507,304.0,15649.0
508,304.0,338402.0
509,304.0,296573.0
510,305.0,14578.0
511,305.0,381581.0
512,306.0,15938.0
513,307.0,15165.0
514,308.0,20354.0
515,309.0,15860.0
516,310.0,381901.0
517,310.0,15725.0
518,311.0,21085.0
519,312.0,12433.0
520,313.0,15592.0
521,313.0,5386.0
522,313.0,333445.0
523,314.0,14912.0
524,315.0,20228.0
525,315.0,355514.0
526,316.0,11306.0
527,316.0,3626.0
528,317.0,340601.0
529,317.0,331280.0
530,317.0,15674.0
531,318.0,15633.0
532,319.0,15633.0
533,319.0,299834.0
534,320.0,15545.0
535,320.0,333853.0
536,320.0,339652.0
537,320.0,378922.0
538,321.0,15332.0
539,321.0,381901.0
540,322.0,382997.0
541,322.0,15725.0
542,323.0,15850.0
543,323.0,5717.0
544,323.0,6032.0
545,324.0,11065.0
546,324.0,340034.0
547,325.0,15850.0
548,326.0,15602.0
549,326.0,385424.0
550,326.0,340000.0
551,326.0,379961.0
552,327.0,15170.0
553,328.0,15508.0
554,328.0,383690.0
555,328.0,379585.0
556,329.0,15821.0
557,329.0,383428.0
558,330.0,14836.0
559,331.0,14506.0
560,332.0,11425.0
561,332.0,387460.0
562,332.0,326065.0
563,332.0,344852.0
564,333.0,11236.0
565,333.0,351873.0
566,334.0,15362.0
567,335.0,15028.0
568,335.0,380500.0
569,336.0,10585.0
570,337.0,15700.0
571,337.0,333268.0
572,338.0,15464.0
573,339.0,15700.0
574,340.0,19697.0
575,341.0,10961.0
576,341.0,387073.0
577,342.0,16025.0
578,342.0,297450.0
579,343.0,16025.0
580,343.0,298436.0
581,344.0,16018.0
582,344.0,8761.0
583,345.0,11890.0
584,346.0,18698.0
585,347.0,12010.0
586,347.0,328180.0
587,348.0,15905.0
588,349.0,15457.0
589,350.0,15793.0
590,350.0,331461.0
591,351.0,14473.0
592,352.0,14797.0
593,352.0,381893.0
594,353.0,15905.0
595,353.0,5666.0
596,354.0,385901.0
597,354.0,341873.0
598,354.0,382257.0
599,354.0,16021.0
600,355.0,15016.0
601,356.0,385162.0
602,356.0,15349.0
603,357.0,312394.0
604,357.0,15680.0
605,358.0,15237.0
606,359.0,15794.0
607,360.0,14804.0
608,361.0,11817.0
609,361.0,350785.0
610,362.0,15912.0
611,363.0,15912.0
612,364.0,12968.0
613,365.0,12226.0
614,366.0,385025.0
615,366.0,15805.0
616,367.0,15370.0
617,367.0,316061.0
618,368.0,15826.0
619,369.0,15805.0
620,370.0,11810.0
621,370.0,375908.0
622,370.0,334234.0
623,371.0,11140.0
624,372.0,11716.0
625,372.0,293540.0
626,373.0,16057.0
627,373.0,385901.0
628,374.0,11173.0
629,374.0,305588.0
630,375.0,339208.0
631,375.0,15826.0
632,375.0,297349.0
633,376.0,15826.0
634,377.0,12658.0
635,378.0,20165.0
636,378.0,314192.0
637,379.0,10853.0
638,379.0,306170.0
639,380.0,14945.0
640,380.0,330289.0
641,381.0,15725.0
642,381.0,384165.0
643,382.0,330948.0
644,382.0,15626.0
645,383.0,15857.0
646,384.0,15626.0
647,385.0,15529.0
648,385.0,339602.0
649,385.0,382210.0
650,386.0,20978.0
651,387.0,18965.0
652,388.0,15529.0
653,388.0,342410.0
654,389.0,20885.0
655,389.0,355045.0
656,390.0,18450.0
657,390.0,365913.0
658,391.0,320776.0
659,391.0,18685.0
660,392.0,18548.0
661,393.0,19618.0
662,393.0,324850.0
663,394.0,15205.0
664,395.0,19225.0
665,395.0,344573.0
666,396.0,11497.0
667,397.0,15481.0
668,398.0,19972.0
669,398.0,309332.0
670,398.0,336650.0
671,399.0,15773.0
672,399.0,330874.0
673,399.0,384709.0
674,400.0,12041.0
675,401.0,11156.0
676,401.0,341450.0
677,402.0,13540.0
678,402.0,357797.0
679,402.0,318565.0
680,403.0,11905.0
681,404.0,15305.0
682,405.0,15538.0
683,405.0,385901.0
684,405.0,340810.0
685,405.0,330874.0
686,406.0,11426.0
687,406.0,347650.0
688,406.0,308800.0
689,407.0,19370.0
690,408.0,11365.0
691,409.0,16388.0
692,410.0,11245.0
693,411.0,10930.0
694,412.0,11600.0
695,413.0,11304.0
696,414.0,11225.0
697,414.0,381761.0
698,414.0,345437.0
699,415.0,19597.0
700,416.0,15842.0
701,417.0,15524.0
702,417.0,337153.0
703,417.0,389933.0
704,418.0,15370.0
705,419.0,14596.0
706,419.0,310946.0
707,420.0,14506.0
708,421.0,15056.0
709,422.0,15289.0
710,422.0,385754.0
711,422.0,340265.0
712,423.0,11125.0
713,423.0,373320.0
714,424.0,10900.0
715,424.0,334373.0
716,425.0,330485.0
717,425.0,15605.0
718,426.0,387641.0
719,426.0,15605.0
720,426.0,341813.0
721,426.0,335957.0
722,427.0,20036.0
723,428.0,12393.0
724,428.0,328610.0
725,428.0,345425.0
726,429.0,20077.0
727,430.0,18244.0
728,431.0,11497.0
729,432.0,11497.0
730,433.0,15370.0
731,434.0,11338.0
732,434.0,3109.0
733,434.0,382661.0
734,435.0,18728.0
735,436.0,18976.0
736,437.0,18729.0
737,437.0,323425.0
738,438.0,350402.0
739,438.0,18728.0
740,439.0,11545.0
741,440.0,15056.0
742,440.0,329125.0
743,441.0,14977.0
744,441.0,327365.0
745,442.0,15293.0
746,443.0,15530.0
747,444.0,14594.0
748,444.0,296820.0
749,445.0,343250.0
750,445.0,15769.0
751,445.0,293410.0
752,446.0,15133.0
753,447.0,15220.0
754,447.0,341809.0
755,447.0,382257.0
756,448.0,15769.0
757,449.0,288180.0
758,449.0,15769.0
759,450.0,15769.0
760,451.0,15220.0
761,452.0,15937.0
762,453.0,15556.0
763,454.0,15293.0
764,455.0,15457.0
765,456.0,382537.0
766,456.0,15844.0
767,457.0,15149.0
768,457.0,342004.0
769,458.0,15457.0
770,459.0,14985.0
771,460.0,15696.0
772,461.0,15530.0
773,461.0,339425.0
774,462.0,15368.0
775,463.0,15210.0
776,464.0,15386.0
777,465.0,14900.0
778,465.0,317210.0
779,465.0,327730.0
780,466.0,316601.0
781,466.0,327328.0
782,466.0,15133.0
783,467.0,338402.0
784,467.0,15605.0
785,468.0,15457.0
786,468.0,342253.0
787,468.0,384282.0
788,468.0,326930.0
789,469.0,15696.0
790,470.0,15605.0
791,470.0,329229.0
792,471.0,15696.0
793,472.0,385393.0
794,472.0,15797.0
795,472.0,381533.0
796,473.0,14681.0
797,473.0,5032.0
798,474.0,15457.0
799,475.0,15457.0
800,475.0,336465.0
801,475.0,327328.0
802,476.0,18485.0
803,477.0,11978.0
804,478.0,11493.0
805,478.0,336617.0
806,479.0,18610.0
807,480.0,18122.0
808,480.0,313000.0
809,480.0,364552.0
810,481.0,11450.0
811,482.0,11245.0
812,483.0,335410.0
813,483.0,13217.0
814,483.0,318925.0
815,484.0,18265.0
816,484.0,311585.0
817,485.0,12170.0
818,486.0,13120.0
819,486.0,318394.0
820,487.0,18512.0
821,488.0,18401.0
822,489.0,15625.0
823,490.0,17425.0
824,491.0,17316.0
825,491.0,362882.0
826,492.0,18133.0
827,492.0,346724.0
828,492.0,362609.0
829,493.0,11560.0
830,494.0,11698.0
831,494.0,331657.0
832,495.0,11428.0
833,496.0,12917.0
834,496.0,335681.0
835,497.0,13058.0
836,497.0,350948.0
837,498.0,19501.0
838,499.0,15424.0
839,499.0,383245.0
840,500.0,11441.0
841,501.0,15317.0
842,501.0,383657.0
843,502.0,15424.0
844,503.0,14713.0
845,504.0,15665.0
846,505.0,15602.0
847,505.0,327328.0
848,506.0,11177.0
849,506.0,383380.0
850,506.0,3170.0
851,507.0,15845.0
852,508.0,15424.0
853,508.0,336808.0
854,509.0,15361.0
855,510.0,14650.0
856,510.0,328136.0
857,511.0,15361.0
858,511.0,326745.0
859,512.0,15784.0
860,513.0,15541.0
861,514.0,15300.0
862,514.0,328660.0
863,515.0,15784.0
864,515.0,338346.0
865,515.0,383245.0
866,516.0,15482.0
867,517.0,11177.0
868,518.0,15300.0
869,518.0,386138.0
870,518.0,325181.0
871,519.0,18477.0
872,519.0,322676.0
873,519.0,346645.0
874,520.0,15482.0
875,521.0,11601.0
876,522.0,15482.0
877,522.0,326745.0
878,522.0,340645.0
879,523.0,15482.0
880,524.0,15482.0
881,524.0,326745.0
882,525.0,15241.0
883,526.0,15425.0
884,527.0,15425.0
885,527.0,295082.0
886,528.0,15425.0
887,529.0,15482.0
888,530.0,11216.0
889,531.0,15425.0
890,532.0,329657.0
891,532.0,15425.0
892,533.0,15370.0
893,534.0,326170.0
894,534.0,15184.0
895,535.0,15425.0
896,536.0,15184.0
897,537.0,15317.0
898,538.0,15613.0
899,539.0,15370.0
900,539.0,325762.0
901,540.0,15613.0
902,540.0,325762.0
903,540.0,288637.0
904,540.0,295880.0
905,541.0,15425.0
906,542.0,12740.0
907,543.0,19109.0
908,543.0,9153.0
909,544.0,12025.0
910,545.0,17474.0
911,546.0,17741.0
912,546.0,324305.0
913,547.0,14365.0
914,548.0,17188.0
915,549.0,17650.0
916,550.0,17338.0
917,550.0,366514.0
918,551.0,17650.0
919,552.0,17000.0
920,553.0,14786.0
921,554.0,329090.0
922,554.0,15266.0
923,555.0,15266.0
924,555.0,386138.0
925,555.0,381856.0
926,556.0,18065.0
927,556.0,370413.0
928,557.0,15509.0
929,558.0,15170.0
930,559.0,11785.0
931,560.0,11285.0
932,560.0,369297.0
933,561.0,12938.0
934,562.0,17640.0
935,562.0,4121.0
936,563.0,17245.0
937,564.0,17492.0
938,564.0,362980.0
939,565.0,16666.0
940,565.0,368705.0
941,566.0,17245.0
942,567.0,16425.0
943,567.0,326925.0
944,567.0,363973.0
945,568.0,18245.0
946,569.0,20557.0
947,569.0,363301.0
948,570.0,17561.0
949,570.0,323901.0
950,571.0,11738.0
951,572.0,18338.0
952,572.0,9385.0
953,573.0,320756.0
954,573.0,17154.0
955,573.0,316930.0
956,573.0,312021.0
957,574.0,13117.0
958,574.0,319717.0
959,575.0,17245.0
960,576.0,11785.0
961,576.0,324405.0
962,577.0,349361.0
963,577.0,17312.0
964,578.0,11597.0
965,578.0,343061.0
966,578.0,335264.0
967,578.0,376168.0
968,579.0,11432.0
969,579.0,384409.0
970,580.0,12164.0
971,581.0,17146.0
972,581.0,374800.0
973,582.0,17905.0
974,582.0,369716.0
975,583.0,17905.0
976,584.0,15817.0
977,584.0,325970.0
978,585.0,15368.0
979,585.0,386885.0
980,585.0,311026.0
981,586.0,15613.0
982,586.0,341029.0
983,587.0,11549.0
984,587.0,319514.0
985,587.0,342205.0
986,588.0,15817.0
987,589.0,15613.0
988,589.0,337545.0
989,589.0,293625.0
990,590.0,15570.0
991,590.0,323802.0
992,591.0,15776.0
993,591.0,389380.0
994,591.0,323408.0
995,592.0,15776.0
996,592.0,388753.0
997,593.0,17753.0
998,593.0,369716.0
999,594.0,11465.0
1000,594.0,350074.0
1001,594.0,347465.0
1002,595.0,17753.0
1003,596.0,12402.0
1004,597.0,12818.0
1005,598.0,17476.0
1006,599.0,20605.0
1007,599.0,288457.0
1008,599.0,399272.0
1009,600.0,15453.0
1010,600.0,294617.0
1011,601.0,14761.0
1012,601.0,386530.0
1013,602.0,14800.0
1014,603.0,12181.0
1015,603.0,388818.0
1016,604.0,12818.0
1017,605.0,14450.0
1018,606.0,12337.0
1019,607.0,12385.0
1020,608.0,14450.0
1021,609.0,15453.0
1022,609.0,342205.0
1023,609.0,383570.0
1024,610.0,17057.0
1025,611.0,12625.0
1026,612.0,11713.0
1027,613.0,14897.0
1028,613.0,310537.0
1029,613.0,389138.0
1030,614.0,17032.0
1031,614.0,315850.0
1032,615.0,11668.0
1033,616.0,15665.0
1034,616.0,343025.0
1035,617.0,12181.0
1036,618.0,11897.0
1037,619.0,14897.0
1038,620.0,11465.0
1039,620.0,345025.0
1040,621.0,13229.0
1041,622.0,12330.0
1042,622.0,389833.0
1043,622.0,323780.0
1044,623.0,14866.0
1045,623.0,323802.0
1046,624.0,15418.0
1047,625.0,15490.0
1048,625.0,338633.0
1049,626.0,13229.0
1050,626.0,339041.0
1051,627.0,11485.0
1052,628.0,16425.0
1053,629.0,15418.0
1054,630.0,15601.0
1055,630.0,388385.0
1056,631.0,15914.0
1057,632.0,15850.0
1058,633.0,13700.0
1059,634.0,15850.0
1060,635.0,15325.0
1061,635.0,343985.0
1062,636.0,15325.0
1063,636.0,296613.0
1064,637.0,15208.0
1065,638.0,15601.0
1066,638.0,340601.0
1067,639.0,16045.0
1068,640.0,15325.0
1069,640.0,388385.0
1070,640.0,311540.0
1071,641.0,15572.0
1072,642.0,15572.0
1073,642.0,341204.0
1074,643.0,15794.0
1075,644.0,15572.0
1076,645.0,12553.0
1077,645.0,386629.0
1078,646.0,12544.0
1079,647.0,12548.0
1080,647.0,395369.0
1081,648.0,13693.0
1082,648.0,353945.0
1083,649.0,11252.0
1084,650.0,12506.0
1085,650.0,324785.0
1086,650.0,365300.0
1087,650.0,361600.0
1088,651.0,12500.0
1089,652.0,12506.0
1090,653.0,15973.0
1091,654.0,13505.0
1092,655.0,15386.0
1093,655.0,361370.0
1094,655.0,288082.0
1095,656.0,12805.0
1096,656.0,397421.0
1097,656.0,343865.0
1098,657.0,11106.0
1099,657.0,331461.0
1100,658.0,20905.0
1101,659.0,311044.0
1102,659.0,16153.0
1103,660.0,13472.0
1104,660.0,320417.0
1105,661.0,12544.0
1106,661.0,340601.0
1107,662.0,11917.0
1108,663.0,11885.0
1109,664.0,12545.0
1110,664.0,345802.0
1111,665.0,20200.0
1112,665.0,327413.0
1113,666.0,12322.0
1114,666.0,344665.0
1115,667.0,15241.0
1116,668.0,15957.0
1117,669.0,15957.0
1118,669.0,329092.0
1119,670.0,12104.0
1120,671.0,15725.0
1121,672.0,11664.0
1122,672.0,339557.0
1123,673.0,12330.0
1124,673.0,385505.0
1125,673.0,295745.0
1126,674.0,15957.0
1127,674.0,390650.0
1128,675.0,13105.0
1129,676.0,11945.0
1130,677.0,12109.0
1131,678.0,15940.0
1132,678.0,344122.0
1133,679.0,11882.0
1134,680.0,11890.0
1135,680.0,344840.0
1136,681.0,12322.0
1137,681.0,388532.0
1138,682.0,12818.0
1139,682.0,350632.0
1140,683.0,11885.0
1141,684.0,11885.0
1142,684.0,387080.0
1143,685.0,15925.0
1144,686.0,20645.0
1145,686.0,345410.0
1146,687.0,11680.0
1147,688.0,11906.0
1148,688.0,325169.0
1149,689.0,12548.0
1150,690.0,11474.0
1151,690.0,376676.0
1152,691.0,11882.0
1153,692.0,16105.0
1154,693.0,16301.0
1155,694.0,11673.0
1156,695.0,18530.0
1157,696.0,14005.0
1158,697.0,15925.0
1159,698.0,17937.0
1160,698.0,314365.0
1161,699.0,19396.0
1162,699.0,375050.0
1163,700.0,11882.0
1164,700.0,385060.0
1165,700.0,341405.0
1166,701.0,12461.0
1167,702.0,15076.0
1168,702.0,298197.0
1169,702.0,5540.0
1170,703.0,12560.0
1171,704.0,11465.0
1172,705.0,13700.0
1173,705.0,352465.0
1174,706.0,11906.0
1175,707.0,11597.0
1176,708.0,12137.0
1177,709.0,15858.0
1178,709.0,273290.0
1179,710.0,12762.0
1180,711.0,12461.0
1181,712.0,15560.0
1182,713.0,11890.0
1183,714.0,11890.0
1184,715.0,13520.0
1185,716.0,11680.0
1186,716.0,343610.0
1187,716.0,385713.0
1188,717.0,12104.0
1189,717.0,343417.0
1190,718.0,12104.0
1191,719.0,16160.0
1192,720.0,15317.0
1193,720.0,347848.0
1194,720.0,313105.0
1195,721.0,15940.0
1196,722.0,15440.0
1197,722.0,306034.0
1198,723.0,14965.0
1199,724.0,19186.0
1200,725.0,16105.0
1201,726.0,14600.0
1202,726.0,305125.0
1203,727.0,11917.0
1204,728.0,11897.0
1205,728.0,390560.0
1206,729.0,12104.0
1207,729.0,384800.0
1208,729.0,391417.0
1209,730.0,12104.0
1210,731.0,15674.0
1211,732.0,12850.0
1212,732.0,339652.0
1213,733.0,11449.0
1214,733.0,379154.0
1215,734.0,14365.0
1216,734.0,274788.0
1217,735.0,12109.0
1218,736.0,11897.0
1219,736.0,388385.0
1220,737.0,12593.0
1221,737.0,339425.0
1222,738.0,340000.0
1223,738.0,11885.0
1224,738.0,344930.0
1225,739.0,14365.0
1226,739.0,362485.0
1227,740.0,15674.0
1228,741.0,15674.0
1229,742.0,15674.0
1230,742.0,318356.0
1231,743.0,15661.0
1232,744.0,15892.0
1233,744.0,346090.0
1234,745.0,18265.0
1235,746.0,18265.0
1236,747.0,15425.0
1237,747.0,289458.0
1238,748.0,12322.0
1239,749.0,15145.0
1240,750.0,14890.0
1241,751.0,11906.0
1242,752.0,15901.0
1243,752.0,285156.0
1244,753.0,11897.0
1245,754.0,18208.0
1246,755.0,12560.0
