,frame,distance_sq
422,142.0,483185.0
423,142.0,14009.0
424,142.0,475785.0
425,143.0,483668.0
426,143.0,14066.0
427,143.0,311873.0
428,144.0,483668.0
429,144.0,14066.0
430,144.0,297098.0
431,144.0,423028.0
432,145.0,483668.0
433,145.0,14066.0
434,145.0,299141.0
435,145.0,478130.0
436,146.0,483185.0
437,146.0,14009.0
438,146.0,416800.0
439,147.0,483668.0
440,147.0,299752.0
441,147.0,14066.0
442,148.0,483668.0
443,148.0,14066.0
444,149.0,484490.0
445,149.0,14240.0
446,149.0,427792.0
447,150.0,483668.0
448,150.0,14066.0
449,150.0,296365.0
450,151.0,483668.0
451,151.0,14066.0
452,151.0,383525.0
453,152.0,483668.0
454,152.0,14066.0
455,152.0,294829.0
456,153.0,483668.0
457,153.0,14066.0
458,153.0,289069.0
459,153.0,384605.0
460,154.0,483668.0
461,154.0,14066.0
462,154.0,289069.0
463,154.0,416025.0
464,155.0,483668.0
465,155.0,14066.0
466,155.0,382058.0
467,156.0,483668.0
468,156.0,14066.0
469,156.0,299377.0
470,157.0,483668.0
471,157.0,14066.0
472,157.0,310984.0
473,157.0,474514.0
474,157.0,416025.0
475,158.0,483668.0
476,158.0,14066.0
477,159.0,483668.0
478,159.0,14066.0
479,160.0,483185.0
480,160.0,14009.0
481,160.0,312628.0
482,160.0,416800.0
483,161.0,483185.0
484,161.0,14009.0
485,161.0,297833.0
486,161.0,473981.0
487,162.0,484973.0
488,162.0,14297.0
489,162.0,295634.0
490,163.0,483185.0
491,163.0,14009.0
492,163.0,477593.0
493,164.0,483668.0
494,164.0,14066.0
495,164.0,382468.0
496,165.0,483668.0
497,165.0,14066.0
498,166.0,483668.0
499,166.0,14066.0
500,167.0,483668.0
501,167.0,14066.0
502,168.0,483185.0
503,168.0,14009.0
504,168.0,402210.0
505,169.0,484009.0
506,169.0,14185.0
507,170.0,484490.0
508,170.0,14240.0
509,170.0,311050.0
510,170.0,381652.0
511,171.0,483668.0
512,171.0,14066.0
513,171.0,478385.0
514,172.0,483668.0
515,172.0,14066.0
516,172.0,310297.0
517,173.0,483668.0
518,173.0,14066.0
519,173.0,294829.0
520,174.0,483185.0
521,174.0,14009.0
