,FileName,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err,Bot_Type,Bot_num
0,aligner_N008_D028_C0583.MP4_link.csv,1.5837066281778929,0.001498586948861765,0.010127044128891835,0.006029607920943585,1.6954993414586859,0.0007372254864807317,0.007356986657585647,0.0024644503795565823,aligner,8
0,aligner_N008_D028_C0581.MP4_link.csv,1.461531417734982,0.000998316620824517,0.024298343716842703,0.004016755789006841,1.5109485350653709,0.0008463504393348746,0.021662680609918248,0.0028292411156629776,aligner,8
0,fronter_N016_D028_C0571.MP4_link.csv,1.6132566835572804,0.0021578672658326865,0.07209045118089671,0.008682241352360124,1.6855415417561905,0.0010621763145331376,0.06111374375957962,0.003550719369150646,fronter,16
0,fronter_N016_D028_C0570.MP4_link.csv,1.6761181509933891,0.00230246453370688,0.06409842286585622,0.009264032599245825,1.7928409096103692,0.0011770531669001276,0.04737086194529659,0.003934737965432711,fronter,16
0,fronter_N016_D028_C0569.MP4_link.csv,1.7332071007851662,0.0018459147661878165,0.025406681317751225,0.007427091486061747,1.827708027292642,0.0007382542113497982,0.019708706894125787,0.0024678892478741834,fronter,16
0,fronter_N016_D028_C0568.MP4_link.csv,1.4874507439930065,0.0033980528461652277,0.04170889552012699,0.013672163945235833,1.6712143088813913,0.0018413633377334293,0.02578042896125197,0.006155441783663658,fronter,16
0,aligner_N016_D028_C0591.MP4_link.csv,1.4830855310741256,0.00042049529098065413,0.03261842117119255,0.0016918749564249205,1.4774346854198905,0.0006609208203079794,0.03378733341977088,0.002209373637934071,aligner,16
0,aligner_N016_D028_C0590.MP4_link.csv,1.3521847948325225,0.0026066354625920293,0.03416587154059001,0.010487873053755271,1.4342278757976934,0.0017158402387389038,0.028839580696452042,0.005735834116769217,aligner,16
0,aligner_N016_D028_C0589.MP4_link.csv,1.4486752805093628,0.001525179617817749,0.026134845942359104,0.006136604249473473,1.4219857673912428,0.0021343684807343727,0.03074660708538142,0.007134920433122642,aligner,16
0,aligner_N016_D028_C0588.MP4_link.csv,1.3294218350704765,0.002037028874908859,0.020897408834292648,0.008196044543150795,1.3391857307984976,0.002224175696413353,0.02216269814302783,0.007435134428306648,aligner,16
0,aligner_N053_D028_C0510.MP4_link.csv,1.501135653052154,0.0010085580015094997,0.02754429726616227,0.004057962249099117,1.4973483971497243,0.0013349253354723596,0.028100248002941638,0.004462484414978503,aligner,53
0,aligner_N053_D028_C0511.MP4_link.csv,1.4721732769942417,0.0014554668992294104,0.035164581867868076,0.005856113113383734,1.5072855156476006,0.0006923147929993784,0.03267871642803239,0.0023143196754033426,aligner,53
0,aligner_N053_D028_C0512.MP4_link.csv,1.4319377468919734,0.0018897028978222654,0.023909377109734255,0.007603274312293264,1.5316222651066367,0.0002871556970485094,0.01839576635521181,0.0009599247096441493,aligner,53
0,aligner_N053_D028_C0513.MP4_link.csv,1.3739555303219801,0.0034182678698570046,0.016139148183662088,0.01375349961246629,1.56054061208101,0.0004463483003918706,0.009694929912569395,0.0014920852032460836,aligner,53
0,fronter_N053_D028_C0505.MP4_link.csv,1.7099098888902744,0.0009150057653847939,0.149855881322063,0.003326633716548075,1.7202133766944088,0.0003136619162038144,0.1474515900647018,0.0010485316017491812,fronter,53
0,fronter_N053_D028_C0506.MP4_link.csv,1.4929901172275892,0.0016619792646558288,0.08379453246446072,0.006687021634995318,1.482591537504124,0.0016718152832731034,0.09324255447215649,0.005588664389548435,fronter,53
0,fronter_N053_D028_C0507.MP4_link.csv,1.4201366463262919,0.0032400184961612123,0.09477721745770641,0.013036308010188099,1.577814077375676,0.00117299087604393,0.06326150366598803,0.003921158241618026,fronter,53
0,fronter_N053_D028_C0509.MP4_link.csv,1.5430425016578815,0.0018692572641519206,0.04736775281208654,0.007521010632310531,1.6137081314303763,0.0006113883952759773,0.040055860980258186,0.002043793103175758,fronter,53
0,fronter_N021_D028_C0490.MP4_link.csv,1.4272414523808714,0.0020259100973680968,0.10092515967712493,0.008151307899052137,1.5662658825068767,0.000683526648350828,0.06648658552372849,0.002284942024365845,fronter,21
0,fronter_N021_D028_C0491.MP4_link.csv,1.4555693611679172,0.0029721151302475454,0.06299068174510819,0.01195839108425813,1.6595981203365862,0.0009033769688319364,0.03512870274368877,0.003019873512394929,fronter,21
0,fronter_N021_D028_C0492.MP4_link.csv,1.1713324209071563,0.002465419600861431,0.10823820155560109,0.009919686998049562,1.1870211819170864,0.001353785079318779,0.09167143496150423,0.004525530106496108,fronter,21
0,fronter_N021_D028_C0493.MP4_link.csv,1.6315621894035595,0.001337637173970622,0.026737107627370606,0.005382021842946478,1.6946459718436464,0.0009679964484576207,0.023049688268872548,0.0032358881325044277,fronter,21
0,aligner_N021_D028_C0494.MP4_link.csv,1.0003651116138776,0.0014367676981884591,0.09141902143261918,0.005780876360073143,1.129236550614666,0.0004947383171893646,0.059706643979771934,0.0016538468128755662,aligner,21
0,aligner_N021_D028_C0495.MP4_link.csv,1.415948908823287,0.0008343578757553383,0.02737687619209104,0.003357063047887242,1.3552547855933847,0.0008747428634586558,0.034377683187851255,0.0029241533362149535,aligner,21
0,aligner_N021_D028_C0497.MP4_link.csv,1.2631970713122964,0.0022745587199764507,0.03548861534387063,0.009151752733993842,1.2637502747464395,0.0026742720303938156,0.03969668994206296,0.008939748771283493,aligner,21
0,aligner_N021_D028_C0498.MP4_link.csv,1.603204095721693,0.0014561034539942977,0.038246064826486084,0.005858674355767355,1.6472936264362208,0.001028784864302745,0.03527789041502693,0.00343909602729221,aligner,21
