,Unnamed: 0,date,operator,bottype,stars,bots,passiveDiameter[cm],path,locatingFileName,minCircleRadius,maxCircleRadius,fps,cpp,start_min,end_min,arenaSize[cm],comments,backedup,motorVal,production,linkingFileName,botLocatingFileName,botLinkingFileName,miniVideoFileNamePack,locatingFileNamePack,linkingFileNamePack
29,71,20230112,Eden,fronter,,16,28,D:\Eden\12_1_23\fronters-28cm-16bots\C0570.MP4,D:\Eden\12_1_23\fronters-28cm-16bots\C0570.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:06,10:48,150,1bot low battery replaced,,130,,D:\Eden\12_1_23\fronters-28cm-16bots\C0570.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N016_D028_C0570.MP4,fronter_N016_D028_C0570.MP4_loc.csv,fronter_N016_D028_C0570.MP4_link.csv
30,72,20230110,Eden,fronter,,16,28,D:\Eden\10_1_23\fronters-28cm-16bots\C0569.MP4,D:\Eden\10_1_23\fronters-28cm-16bots\C0569.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:16,20:29,150,1-bot stop-replaced,,130,,D:\Eden\10_1_23\fronters-28cm-16bots\C0569.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N016_D028_C0569.MP4,fronter_N016_D028_C0569.MP4_loc.csv,fronter_N016_D028_C0569.MP4_link.csv
31,73,20230110,Eden,fronter,,16,28,D:\Eden\10_1_23\fronters-28cm-16bots\C0568.MP4,D:\Eden\10_1_23\fronters-28cm-16bots\C0568.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:07,20:19,150,1-bot stop-replaced,,130,,D:\Eden\10_1_23\fronters-28cm-16bots\C0568.MP4_locatedFull20230326_Eden.csv_linked.csv,,,fronter_N016_D028_C0568.MP4,fronter_N016_D028_C0568.MP4_loc.csv,fronter_N016_D028_C0568.MP4_link.csv
32,74,20230119,Eden,aligner,,16,28,D:\Eden\19_1_23\aligners16passive28cm\C0591.MP4,D:\Eden\19_1_23\aligners16passive28cm\C0591.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:09,16:39,150,1 low battery-replaced,,130,,D:\Eden\19_1_23\aligners16passive28cm\C0591.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N016_D028_C0591.MP4,aligner_N016_D028_C0591.MP4_loc.csv,aligner_N016_D028_C0591.MP4_link.csv
33,75,20230119,Eden,aligner,,16,28,D:\Eden\19_1_23\aligners16passive28cm\C0590.MP4,D:\Eden\19_1_23\aligners16passive28cm\C0590.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:08,20:17,150,1 spinning bot -replaced,,130,,D:\Eden\19_1_23\aligners16passive28cm\C0590.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N016_D028_C0590.MP4,aligner_N016_D028_C0590.MP4_loc.csv,aligner_N016_D028_C0590.MP4_link.csv
34,76,20230119,Eden,aligner,,16,28,D:\Eden\19_1_23\aligners16passive28cm\C0589.MP4,D:\Eden\19_1_23\aligners16passive28cm\C0589.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:05,20:32,150,2 bot low battery-replaced,,130,,D:\Eden\19_1_23\aligners16passive28cm\C0589.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N016_D028_C0589.MP4,aligner_N016_D028_C0589.MP4_loc.csv,aligner_N016_D028_C0589.MP4_link.csv
35,77,20230119,Eden,aligner,,16,28,D:\Eden\19_1_23\aligners16passive28cm\C0588.MP4,D:\Eden\19_1_23\aligners16passive28cm\C0588.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:05,20:56,150,1bot low battery-replaced,,130,,D:\Eden\19_1_23\aligners16passive28cm\C0588.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N016_D028_C0588.MP4,aligner_N016_D028_C0588.MP4_loc.csv,aligner_N016_D028_C0588.MP4_link.csv
36,78,20221218,Matan,aligner,1,53,28,D:\Matan\20221218\aligners53passive28cm\C0510.MP4,D:\Matan\20221218\aligners53passive28cm\C0510.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:25,19:40,150,,1,130,,D:\Matan\20221218\aligners53passive28cm\C0510.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N053_D028_C0510.MP4,aligner_N053_D028_C0510.MP4_loc.csv,aligner_N053_D028_C0510.MP4_link.csv
37,79,20221218,Matan,aligner,3,53,28,D:\Matan\20221218\aligners53passive28cm\C0511.MP4,D:\Matan\20221218\aligners53passive28cm\C0511.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:28,18:19,150,first few minutes show scatter well,1,130,D:\Matan\production\C5011coppedTrimmedGray.MP4,D:\Matan\20221218\aligners53passive28cm\C0511.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N053_D028_C0511.MP4,aligner_N053_D028_C0511.MP4_loc.csv,aligner_N053_D028_C0511.MP4_link.csv
38,80,20221218,Matan,aligner,0,53,28,D:\Matan\20221218\aligners53passive28cm\C0512.MP4,D:\Matan\20221218\aligners53passive28cm\C0512.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:30,17:49,150,,1,130,,D:\Matan\20221218\aligners53passive28cm\C0512.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N053_D028_C0512.MP4,aligner_N053_D028_C0512.MP4_loc.csv,aligner_N053_D028_C0512.MP4_link.csv
39,81,20221218,Matan,aligner,0,53,28,D:\Matan\20221218\aligners53passive28cm\C0513.MP4,D:\Matan\20221218\aligners53passive28cm\C0513.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:27,20:15,150,,1,130,,D:\Matan\20221218\aligners53passive28cm\C0513.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N053_D028_C0513.MP4,aligner_N053_D028_C0513.MP4_loc.csv,aligner_N053_D028_C0513.MP4_link.csv
40,82,20221217,Matan,fronter,3,53,28,D:\Matan\20221217\fronters53passive28cm\C0505.MP4,D:\Matan\20221217\fronters53passive28cm\C0505.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:28,2:18,150,2 mins to edge,1,130,D:\Matan\production\C0505coppedTrimmedGray.MP4,D:\Matan\20221217\fronters53passive28cm\C0505.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N053_D028_C0505.MP4,fronter_N053_D028_C0505.MP4_loc.csv,fronter_N053_D028_C0505.MP4_link.csv
41,83,20221217,Matan,fronter,1,53,28,D:\Matan\20221217\fronters53passive28cm\C0506.MP4,D:\Matan\20221217\fronters53passive28cm\C0506.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:23,5:15,150,,1,130,,D:\Matan\20221217\fronters53passive28cm\C0506.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N053_D028_C0506.MP4,fronter_N053_D028_C0506.MP4_loc.csv,fronter_N053_D028_C0506.MP4_link.csv
42,84,20221217,Matan,fronter,1,53,28,D:\Matan\20221217\fronters53passive28cm\C0507.MP4,D:\Matan\20221217\fronters53passive28cm\C0507.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:31,6:44,150,,1,130,,D:\Matan\20221217\fronters53passive28cm\C0507.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N053_D028_C0507.MP4,fronter_N053_D028_C0507.MP4_loc.csv,fronter_N053_D028_C0507.MP4_link.csv
43,85,20221217,Matan,fronter,0,53,28,D:\Matan\20221217\fronters53passive28cm\C0509.MP4,D:\Matan\20221217\fronters53passive28cm\C0509.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:29,14:38,150,,1,130,,D:\Matan\20221217\fronters53passive28cm\C0509.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N053_D028_C0509.MP4,fronter_N053_D028_C0509.MP4_loc.csv,fronter_N053_D028_C0509.MP4_link.csv
26,,20221213,Eden,fronter,1,21,28,D:\Eden\20221213\fronters21\C0490.MP4,D:\Eden\20221213\fronters21\C0490.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:23,5:51,150,,1,130,,D:\Eden\20221213\fronters21\C0490.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\fronters21\C0490.MP4botLocatedFull20230315.csv,D:\Eden\20221213\fronters21\C0490.MP4botLocatedFull20230315.csv_linked.csv,fronter_N021_D028_C0490.MP4,fronter_N021_D028_C0490.MP4_loc.csv,fronter_N021_D028_C0490.MP4_link.csv
27,,20221213,Eden,fronter,2,21,28,D:\Eden\20221213\fronters21\C0491.MP4,D:\Eden\20221213\fronters21\C0491.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:21,2:09,150,,1,130,,D:\Eden\20221213\fronters21\C0491.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\fronters21\C0491.MP4botLocatedFull20230315.csv,D:\Eden\20221213\fronters21\C0491.MP4botLocatedFull20230315.csv_linked.csv,fronter_N021_D028_C0491.MP4,fronter_N021_D028_C0491.MP4_loc.csv,fronter_N021_D028_C0491.MP4_link.csv
28,,20221213,Eden,fronter,1,21,28,D:\Eden\20221213\fronters21\C0492.MP4,D:\Eden\20221213\fronters21\C0492.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:06,7:34,150,,1,130,,D:\Eden\20221213\fronters21\C0492.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\fronters21\C0492.MP4botLocatedFull20230315.csv,D:\Eden\20221213\fronters21\C0492.MP4botLocatedFull20230315.csv_linked.csv,updated_fronter_N021_D028_C0492.MP4,updated_test_fronter_N021_D028_C0492.MP4_loc.csv,updated_test_fronter_N021_D028_C0492.MP4_link.csv
29,,20221213,Eden,fronter,1,21,28,D:\Eden\20221213\fronters21\C0493.MP4,D:\Eden\20221213\fronters21\C0493.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:17,20:00,150,,1,130,,D:\Eden\20221213\fronters21\C0493.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\fronters21\C0493.MP4botLocatedFull20230315.csv,D:\Eden\20221213\fronters21\C0493.MP4botLocatedFull20230315.csv_linked.csv,fronter_N021_D028_C0493.MP4,fronter_N021_D028_C0493.MP4_loc.csv,fronter_N021_D028_C0493.MP4_link.csv
30,,20221213,Eden,aligner,,21,28,D:\Eden\20221213\aligners21\C0494.MP4,D:\Eden\20221213\aligners21\C0494.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:11,20:00,150,,1,130,,D:\Eden\20221213\aligners21\C0494.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\aligners21\C0494.MP4botLocatedFull20230315.csv,D:\Eden\20221213\aligners21\C0494.MP4botLocatedFull20230315.csv_linked.csv,updated_aligner_N021_D028_C0494.MP4,updated_test_aligner_N021_D028_C0494.MP4_loc.csv,updated_test_aligner_N021_D028_C0494.MP4_link.csv
31,,20221213,Eden,aligner,,21,28,D:\Eden\20221213\aligners21\C0495.MP4,D:\Eden\20221213\aligners21\C0495.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:04,20:00,150,,1,130,,D:\Eden\20221213\aligners21\C0495.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\aligners21\C0495.MP4botLocatedFull20230315.csv,D:\Eden\20221213\aligners21\C0495.MP4botLocatedFull20230315.csv_linked.csv,aligner_N021_D028_C0495.MP4,aligner_N021_D028_C0495.MP4_loc.csv,aligner_N021_D028_C0495.MP4_link.csv
32,,20221213,Eden,aligner,3,21,28,D:\Eden\20221213\aligners21\C0497.MP4,D:\Eden\20221213\aligners21\C0497.MP4_locatedFull20230223a_test_eden.csv,102,106,25,0.1376146789,0:07,20:00,150,,1,130,,D:\Eden\20221213\aligners21\C0497.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\aligners21\C0497.MP4botLocatedFull20230315.csv,D:\Eden\20221213\aligners21\C0497.MP4botLocatedFull20230315.csv_linked.csv,aligner_N021_D028_C0497.MP4,aligner_N021_D028_C0497.MP4_loc.csv,aligner_N021_D028_C0497.MP4_link.csv
33,,20221213,Eden,aligner,,21,28,D:\Eden\20221213\aligners21\C0498.MP4,D:\Eden\20221213\aligners21\C0498.MP4_locatedFull20230223a_test_eden.csv,99,101,25,0.1376146789,0:34,17:00,150,,1,130,,D:\Eden\20221213\aligners21\C0498.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\20221213\aligners21\C0498.MP4botLocatedFull20230315.csv,D:\Eden\20221213\aligners21\C0498.MP4botLocatedFull20230315.csv_linked.csv,aligner_N021_D028_C0498.MP4,aligner_N021_D028_C0498.MP4_loc.csv,aligner_N021_D028_C0498.MP4_link.csv
