No.,date,operator,bottype,No.,angle,angle_err,stars,bots,folder,path,BotLocatingFile,BatteryLocatingFile,start_min,end_min,starting_point,p0_1,p0_2
41,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,3:12,3:14,down,,
42,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,3:19,3:21,down,,
43,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,3:39,3:41,down,,
44,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,3:53,3:55,down,,
45,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,4:03,4:05,down,,
46,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,4:15,4:17,down,,
47,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,4:27,4:29,down,,
48,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,4:52,4:54,down,,
49,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,5:02,5:04,down,,
50,20240617,Eden,fronter,5,2.25,0.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:04,0:06,up,,
