frame,Unnamed: 0,frame,x,y,r,particle
466,372,466,646.5,587.5,30.8,0
467,373,467,645.5,586.5,30.9,0
468,374,468,645.5,586.5,30.9,0
469,375,469,645.5,588.5,30.9,0
471,376,471,645.5,587.5,30.9,0
472,377,472,645.5,587.5,30.9,0
473,378,473,647.5,587.5,31.8,0
475,379,475,647.5,590.5,30.9,0
476,380,476,646.5,589.5,30.8,0
477,381,477,647.5,589.5,30.8,0
478,382,478,647.5,589.5,30.9,0
479,383,479,647.5,589.5,30.8,0
482,384,482,647.5,590.5,30.7,0
484,385,484,645.5,593.5,30.8,0
485,386,485,647.5,592.5,30.9,0
486,387,486,648.5,592.5,30.9,0
488,388,488,651.5,592.5,32.6,0
490,389,490,650.5,595.5,30.9,0
491,390,491,649.5,594.5,30.9,0
494,391,494,650.5,596.5,30.9,0
495,392,495,650.5,594.5,30.8,0
496,393,496,648.5,594.5,33.1,0
498,394,498,648.5,595.5,30.7,0
499,395,499,647.5,596.5,30.9,0
500,396,500,649.5,596.5,30.8,0
501,397,501,650.5,596.5,30.9,0
502,398,502,651.5,598.5,30.8,0
503,399,503,648.5,600.5,32.0,0
504,400,504,651.5,596.5,30.8,0
505,401,505,651.5,598.5,30.8,0
506,402,506,649.5,598.5,31.9,0
507,403,507,649.5,598.5,32.0,0
509,404,509,650.5,597.5,30.9,0
510,405,510,650.5,597.5,30.9,0
511,406,511,650.5,598.5,30.9,0
513,407,513,651.5,599.5,30.8,0
514,408,514,650.5,599.5,30.9,0
516,409,516,650.5,599.5,30.7,0
517,410,517,646.5,600.5,30.9,0
518,411,518,651.5,601.5,32.0,0
519,412,519,649.5,600.5,30.9,0
520,413,520,651.5,600.5,30.6,0
521,414,521,649.5,600.5,30.9,0
522,415,522,645.5,600.5,30.9,0
523,416,523,649.5,601.5,30.9,0
524,417,524,647.5,601.5,30.9,0
525,418,525,650.5,600.5,30.8,0
526,419,526,650.5,600.5,30.8,0
527,420,527,650.5,602.5,30.9,0
528,421,528,651.5,602.5,30.8,0
529,422,529,650.5,601.5,30.8,0
530,423,530,651.5,603.5,30.9,0
531,424,531,650.5,603.5,30.9,0
532,425,532,651.5,602.5,30.9,0
534,426,534,651.5,603.5,30.8,0
535,427,535,656.5,606.5,36.4,0
536,428,536,651.5,603.5,30.8,0
537,429,537,648.5,605.5,30.9,0
538,430,538,652.5,608.5,30.9,0
539,431,539,652.5,607.5,30.8,0
540,432,540,649.5,605.5,33.1,0
